model,tensor_parallel,input_output_length,batch_size,throughput_tokens_per_sec,avg_latency_sec,avg_power_w,max_power_w,energy_wh,efficiency_tokens_per_watt,duration_sec
Qwen_Qwen2-7B,1,1024,16,433.3473659079462,75.61601287536323,33.37443088089739,91.3,28.099416666666666,12.9844121523577,3153.919
Qwen_Qwen2-7B,1,512,32,789.321525588295,41.51413452911656,42.635561529271214,88.11,19.825536111111113,18.513219886793106,1785.949
Qwen_Qwen2-7B,1,1024,32,736.2360296178969,89.01493184734912,42.114854260089686,90.56,41.7405,17.481623587513965,3670.039
Qwen_Qwen2-7B,1,256,32,839.961025535806,19.50566693204455,43.75195183776932,90.72,9.588969444444443,19.19825265511243,912.4
Qwen_Qwen2-7B,1,512,16,453.73004285657845,36.10957717688289,33.59574175824176,89.56,13.587611111111112,13.505581931235934,1556.843
Qwen_Qwen2-7B,1,512,1,25.25818775680823,40.541309212652656,31.714613970588236,67.73,14.377291666666666,0.796421100387108,1751.818
Qwen_Qwen2-7B,1,1024,1,25.13051865672847,81.4945376963665,30.352346283267053,68.67,27.561616666666666,0.8279596714598197,3387.174
Qwen_Qwen2-7B,1,128,16,467.01699964661793,8.7705586800895,35.40149584487535,69.6,3.5499833333333335,13.192013176308267,463.372
Qwen_Qwen2-7B,1,512,64,1338.4743712046372,48.963208717262994,44.75901472828847,90.64,24.480694444444445,29.90401775664419,2073.482
Qwen_Qwen2-7B,1,2048,16,396.7923248311057,165.16448504364428,32.99464528815611,84.79,60.59100000000001,12.025961223881982,6724.022
Qwen_Qwen2-7B,1,2048,1,24.92925239861707,164.30496729325193,31.56899984800122,58.57,57.692347222222224,0.7896750774065292,6702.207
Qwen_Qwen2-7B,1,256,1,25.483447842936712,20.09147283191948,31.481068796068797,59.55,7.118219444444445,0.8094848369988938,915.517
Qwen_Qwen2-7B,1,128,32,864.6022638505211,9.474876879823084,44.67350515463917,76.89,4.814811111111111,19.353804024503223,508.262
Qwen_Qwen2-7B,1,128,1,25.58169089104473,10.00715711445082,30.867317073170728,63.72,3.515444444444444,0.8287630191637173,512.23
Qwen_Qwen2-7B,1,1024,64,1160.2724952524754,112.9665665059816,42.76588859416446,87.25,53.742466666666665,27.130793569218582,4643.401
Qwen_Qwen2-7B,1,2048,64,929.7550398621388,281.94953375984915,40.57162994022661,91.31,126.32427777777778,22.916383720149494,11314.673
Qwen_Qwen2-7B,1,128,64,1480.9127093430989,11.063447491964325,44.89869757174393,90.55,5.649752777777778,32.983422447315725,552.295
Qwen_Qwen2-7B,1,2048,32,638.2794862019819,205.35204848886934,40.430911639244364,90.47,92.14878611111111,15.786917987336063,8330.789
Qwen_Qwen2-7B,1,256,64,1442.588891376119,22.7147180987522,45.74448313384114,91.33,11.677550000000002,31.535800440794823,1042.559
Qwen_Qwen2-7B,1,256,16,463.5278659229605,17.673155385574017,35.522887029288704,74.95,7.074975,13.04871041424028,841.33
