,,,,throughput,throughput,throughput,throughput,mean_latency,mean_latency,mean_latency,mean_latency
,,,,mean,std,min,max,mean,std,min,max
model,tensor_parallel,batch_size,input_output_length,,,,,,,,
Qwen_Qwen2-7B,1,1,128,25.58,,25.58,25.58,10.01,,10.01,10.01
Qwen_Qwen2-7B,1,1,256,25.48,,25.48,25.48,20.09,,20.09,20.09
Qwen_Qwen2-7B,1,1,512,25.26,,25.26,25.26,40.54,,40.54,40.54
Qwen_Qwen2-7B,1,1,1024,25.13,,25.13,25.13,81.49,,81.49,81.49
Qwen_Qwen2-7B,1,1,2048,24.93,,24.93,24.93,164.3,,164.3,164.3
Qwen_Qwen2-7B,1,16,128,467.02,,467.02,467.02,8.77,,8.77,8.77
Qwen_Qwen2-7B,1,16,256,463.53,,463.53,463.53,17.67,,17.67,17.67
Qwen_Qwen2-7B,1,16,512,453.73,,453.73,453.73,36.11,,36.11,36.11
Qwen_Qwen2-7B,1,16,1024,433.35,,433.35,433.35,75.62,,75.62,75.62
Qwen_Qwen2-7B,1,16,2048,396.79,,396.79,396.79,165.16,,165.16,165.16
Qwen_Qwen2-7B,1,32,128,864.6,,864.6,864.6,9.47,,9.47,9.47
Qwen_Qwen2-7B,1,32,256,839.96,,839.96,839.96,19.51,,19.51,19.51
Qwen_Qwen2-7B,1,32,512,789.32,,789.32,789.32,41.51,,41.51,41.51
Qwen_Qwen2-7B,1,32,1024,736.24,,736.24,736.24,89.01,,89.01,89.01
Qwen_Qwen2-7B,1,32,2048,638.28,,638.28,638.28,205.35,,205.35,205.35
Qwen_Qwen2-7B,1,64,128,1480.91,,1480.91,1480.91,11.06,,11.06,11.06
Qwen_Qwen2-7B,1,64,256,1442.59,,1442.59,1442.59,22.71,,22.71,22.71
Qwen_Qwen2-7B,1,64,512,1338.47,,1338.47,1338.47,48.96,,48.96,48.96
Qwen_Qwen2-7B,1,64,1024,1160.27,,1160.27,1160.27,112.97,,112.97,112.97
Qwen_Qwen2-7B,1,64,2048,929.76,,929.76,929.76,281.95,,281.95,281.95
